Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Methanosphaerula palustris E1-9c		strain: E1-9c	521011	ASM2196v1	GCF_000021965.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2922917	2922917	2009-01-05	2872	PRJNA29381	SAMN00001866
Halorubrum lacusprofundi ATCC 49239		strain: ATCC 49239	416348	ASM2220v1	GCF_000022205.1	RefSeq	GCF_000022205.1-RS_2024_05_05	Complete Genome	2735295	3692576	2009-02-04	3670	PRJNA412908	SAMN02598407
Thermococcus gammatolerans EJ3		strain: EJ3; DSM 15229	593117	ASM2236v1	GCF_000022365.1	RefSeq	GCF_000022365.1-RS_2024_03_27	Complete Genome	2045438	2045438	2009-06-12	2227	PRJNA33671	SAMN02603333
Halorhabdus utahensis DSM 12940		strain: DSM 12940	519442	ASM2394v1	GCF_000023945.1	RefSeq	GCF_000023945.1-RS_2024_05_01	Complete Genome	3116795	3116795	2009-08-27	3055	PRJNA29305	SAMN00002611
Halomicrobium mukohataei DSM 12286		strain: DSM 12286	485914	ASM2396v1	GCF_000023965.1	RefSeq	GCF_000023965.1-RS_2024_03_28	Complete Genome	3110487	3332349	2009-09-03	3444	PRJNA27945	SAMN00002610
Methanobrevibacter ruminantium M1		strain: M1	634498	ASM2418v1	GCF_000024185.1	RefSeq	GCF_000024185.1-RS_2024_03_28	Complete Genome	2937203	2937203	2010-02-05	2283	PRJNA34681	SAMN02603710
Haloterrigena turkmenica DSM 5511		strain: DSM 5511	543526	ASM2532v1	GCF_000025325.1	RefSeq	GCF_000025325.1-RS_2024_05_05	Complete Genome	3889038	5440782	2010-01-19	5281	PRJNA30411	SAMN02598471
Ferroglobus placidus DSM 10642		strain: DSM 10642	589924	ASM2550v1	GCF_000025505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2196266	2196266	2010-02-16	2616	PRJNA33635	SAMN02598503
Natrialba magadii ATCC 43099		strain: ATCC 43099	547559	ASM2562v1	GCF_000025625.1	RefSeq	GCF_000025625.1-RS_2024_05_05	Complete Genome	3751858	4443643	2010-02-24	4254	PRJNA30691	SAMN02598473
Haloferax volcanii DS2		strain: DS2	309800	ASM2568v1	GCF_000025685.1	RefSeq	GCF_000025685.1-RS_2024_05_05	Complete Genome	2847757	4012900	2010-03-23	4064	PRJNA12524	SAMN02604027
Natronomonas pharaonis DSM 2160		strain: Gabara	348780	ASM2604v1	GCF_000026045.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2595221	2749696	2005-09-28	2885	PRJNA15742	SAMEA3138222
Methanocella arvoryzae MRE50		strain: MRE50	351160	ASM6344v1	GCF_000063445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3179916	3179916	2006-10-12	3191	PRJNA19641	SAMEA3138262
Methanocaldococcus jannaschii DSM 2661		strain: DSM 2661	243232	ASM9166v1	GCF_000091665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1664970	1739927	1999-12-22	1903	PRJNA102	SAMN02603984
Thermosphaera aggregans DSM 11486		strain: DSM 11486	633148	ASM9218v1	GCF_000092185.1	RefSeq	GCF_000092185.1-RS_2024_05_01	Complete Genome	1316595	1316595	2010-05-17	1458	PRJNA36571	SAMN02598509
Methanothermobacter marburgensis str. Marburg		strain: Marburg	79929	ASM14529v1	GCF_000145295.1	RefSeq	GCF_000145295.1-RS_2024_03_27	Complete Genome	1634695	1639135	2010-08-11	1784	PRJNA40103	SAMN02603260
Methanolacinia petrolearia DSM 11571		strain: DSM 11571	679926	ASM14787v1	GCF_000147875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2843290	2843290	2010-09-17	2857	PRJNA40773	SAMN00017400
Vulcanisaeta distributa DSM 14429		strain: DSM 14429	572478	ASM14838v1	GCF_000148385.1	RefSeq	GCF_000148385.1-RS_2024_05_01	Complete Genome	2374137	2374137	2010-09-22	2567	PRJNA32589	SAMN00017002
Thermococcus barophilus MP		strain: MP	391623	ASM15110v2	GCF_000151105.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010078	2064237	2010-12-17	2281	PRJNA19379	SAMN02603625
Halogeometricum borinquense DSM 11551		strain: DSM 11551	469382	ASM17299v2	GCF_000172995.2	RefSeq	GCF_000172995.2-RS_2024_05_05	Complete Genome	2820544	3944467	2010-11-22	3931	PRJNA20743	SAMN00002580
Desulfurococcus mucosus DSM 2162		strain: DSM 2162	765177	ASM18636v1	GCF_000186365.1	RefSeq	GCF_000186365.1-RS_2024_05_01	Complete Genome	1314639	1314639	2011-01-20	1418	PRJNA48641	SAMN00103627
Vulcanisaeta moutnovskia 768-28		strain: 768-28	985053	ASM19031v1	GCF_000190315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2298983	2298983	2011-02-22	2529	PRJNA63027	SAMN02603092
Thermoplasma acidophilum DSM 1728		strain: DSM 1728	273075	ASM19591v1	GCF_000195915.1	RefSeq	GCF_000195915.1-RS_2024_04_04	Complete Genome	1564906	1564906	2003-05-06	1593	PRJNA110	SAMEA3138325
Pyrococcus abyssi GE5		strain: Orsay	272844	ASM19593v2	GCF_000195935.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1765118	1768562	2003-05-06	1982	PRJNA179	SAMEA3283067
Methanohalobium evestigatum Z-7303		strain: Z-7303	644295	ASM19665v1	GCF_000196655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2242317	2406232	2010-06-15	2456	PRJNA37945	SAMN00015125
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM19689v1	GCF_000196895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2809118	3698650	2010-06-23	3920	PRJNA49517	SAMN02603490
Methanothrix soehngenii GP6		strain: GP6	990316	ASM20441v1	GCF_000204415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3008626	3026645	2011-04-15	3055	PRJNA63185	SAMN02604263
Methanobacterium paludis		strain: SWAN1	868131	ASM21472v1	GCF_000214725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2546541	2546541	2011-05-24	2493	PRJNA53561	SAMN00713630
Halopiger xanaduensis SH-6		strain: SH-6	797210	ASM21771v1	GCF_000217715.1	RefSeq	GCF_000217715.1-RS_2024_05_12	Complete Genome	3668009	4355268	2011-06-09	4327	PRJNA56049	SAMN02232028
Methanosalsum zhilinae DSM 4017		strain: DSM 4017	679901	ASM21799v1	GCF_000217995.1	RefSeq	GCF_000217995.1-RS_2024_05_01	Complete Genome	2138444	2138444	2011-06-13	2078	PRJNA40771	SAMN02232039
Pyrolobus fumarii 1A		strain: 1A	694429	ASM22339v1	GCF_000223395.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1843267	1843267	2011-08-12	2007	PRJNA48579	SAMN02232047
Haloarcula hispanica ATCC 33960		strain: CGMCC 1.2049	634497	ASM22390v1	GCF_000223905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2995271	3890005	2011-08-17	3928	PRJNA68523	SAMN02602960
Halobiforma lacisalsi AJ5		strain: AJ5	358396	ASM22697v3	GCF_000226975.2	RefSeq	GCF_000226975.2-RS_2024_05_05	Complete Genome	4161587	4381543	2017-01-23	4294	PRJNA16192	SAMN02470038
Natronobacterium gregoryi SP2		strain: SP2	797304	ASM23071v3	GCF_000230715.2	RefSeq	GCF_000230715.2-RS_2024_05_05	Complete Genome	3788356	3788356	2012-12-10	3758	PRJNA60135	SAMN02232042
Natrinema pellirubrum DSM 15624		strain: DSM 15624	797303	ASM23073v3	GCF_000230735.2	RefSeq	GCF_000230735.2-RS_2024_05_12	Complete Genome	3790479	4354100	2012-12-27	4365	PRJNA52951	SAMN02261373
Desulfurococcus amylolyticus DSM 16532		strain: DSM 16532	768672	ASM23101v3	GCF_000231015.2	RefSeq	GCF_000231015.2-RS_2024_03_28	Complete Genome	1384116	1384116	2012-06-07	1543	PRJNA49401	SAMN02232017
Thermococcus litoralis DSM 5473		strain: DSM 5473	523849	ASM24698v3	GCF_000246985.2	RefSeq	GCF_000246985.2-RS_2024_03_27	Complete Genome	2215172	2215172	2013-08-13	2512	PRJNA81925	SAMN02603679
Methanocella conradii HZ254		strain: HZ254	1041930	ASM25110v1	GCF_000251105.1	RefSeq	GCF_000251105.1-RS_2024_03_28	Complete Genome	2378438	2378438	2012-03-07	2569	PRJNA73221	SAMN02603117
Thermoproteus tenax Kra 1		strain: Kra 1	768679	ASM25305v1	GCF_000253055.1	RefSeq	GCF_000253055.1-RS_2024_03_28	Complete Genome	1841542	1841542	2011-10-06	2125	PRJEA49419	SAMEA2272453
Fervidicoccus fontis Kam940		strain: Kam940	1163730	ASM25842v1	GCF_000258425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1319206	1319206	2012-04-10	1409	PRJNA91117	SAMN02603095
Candidatus Methanomethylophilus alvi Mx1201		strain: Mx1201	1236689	ASM30025v2	GCF_000300255.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1666795	1666795	2013-04-09	1677	PRJNA175948	SAMN03081445
Methanoculleus bourgensis MS2		strain: type strain:MS2	1201294	Mb_MS2	GCF_000304355.2	RefSeq	GCF_000304355.2-RS_2024_04_06	Complete Genome	2789774	2789774	2014-02-04	2681	PRJEB167	SAMEA2272323
Methanoregula formicica SMSP		strain: SMSP	593750	ASM32748v1	GCF_000327485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2820858	2820858	2012-12-21	2903	PRJNA63567	SAMN02232038
Halovivax ruber XH-70		strain: XH-70	797302	ASM32852v1	GCF_000328525.1	RefSeq	GCF_000328525.1-RS_2024_05_02	Complete Genome	3223876	3223876	2012-12-27	3157	PRJNA59897	SAMN02232030
Methanomethylovorans hollandica DSM 15978		strain: DSM 15978	867904	ASM32866v1	GCF_000328665.1	RefSeq	GCF_000328665.1-RS_2024_05_02	Complete Genome	2428904	2714013	2012-12-28	2693	PRJNA50749	SAMN02261367
Natronococcus occultus SP4		strain: SP4	694430	ASM32868v1	GCF_000328685.1	RefSeq	GCF_000328685.1-RS_2024_05_02	Complete Genome	4013216	4314118	2012-12-28	4365	PRJNA46985	SAMN02261263
Halorhabdus tiamatea SARL4B		strain: type strain: SARL4B	1033806	HATI1	GCF_000470655.1	RefSeq	GCF_000470655.1-RS_2024_04_06	Complete Genome	2815791	3146160	2013-08-01	3182	PRJEB1233	SAMEA2271992
Thermococcus paralvinellae		strain: ES1	582419	ASM51744v1	GCF_000517445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1957742	1957742	2014-01-10	2181	PRJNA230233	SAMN03081513
Halostagnicola larsenii XH-48		strain: XH-48	797299	ASM51762v1	GCF_000517625.1	RefSeq	GCF_000517625.1-RS_2024_05_05	Complete Genome	2789326	4131176	2014-01-13	4098	PRJNA71415	SAMN00117518
Aeropyrum camini SY1 = JCM 12091		strain: SY1	1198449	ASM59103v1	GCF_000591035.1	RefSeq	GCF_000591035.1-RS_2024_03_28	Complete Genome	1595994	1595994	2013-09-27	1682	PRJDB107	SAMD00061006
Natronomonas moolapensis 8.8.11		strain: 8.8.11	268739	ASM59105v1	GCF_000591055.1	RefSeq	GCF_000591055.1-RS_2024_03_28	Complete Genome	2912573	2912573	2013-02-21	2945	PRJEA50649	SAMEA3138954
Nitrososphaera viennensis EN76		strain: EN76	926571	ASM69878v1	GCF_000698785.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2527938	2527938	2014-06-06	2993	PRJEA60103	SAMN02721150
Nitrosopumilus piranensis		strain: D3C	1582439	ASM87577v1	GCF_000875775.1	RefSeq	GCF_000875775.1-RS_2024_04_29	Complete Genome	1713078	1713078	2015-02-13	2161	PRJNA269924	SAMN03257648
Methanosarcina thermophila TM-1		strain: TM-1	523844	ASM96988v1	GCF_000969885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3127379	3127379	2015-04-07	2801	PRJNA230961	SAMN03074597
Methanosarcina siciliae T4/M		strain: T4/M	1434120	ASM97008v1	GCF_000970085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5017558	5017558	2015-04-07	4302	PRJNA230953	SAMN03074589
Methanosarcina horonobensis HB-1 = JCM 15518		strain: HB-1	1434110	ASM97028v1	GCF_000970285.1	RefSeq	GCF_000970285.1-RS_2024_03_28	Complete Genome	5018607	5018607	2015-04-07	4521	PRJNA230942	SAMN03074578
Pyrodictium delaneyi		strain: Su06	1273541	ASM141261v1	GCF_001412615.1	RefSeq	GCF_001412615.1-RS_2024_03_28	Complete Genome	2023836	2023836	2015-10-26	2115	PRJNA268702	SAMN03223811
Halodesulfurarchaeum formicicum		strain: HSR6	1873524	ASM188695v1	GCF_001886955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2085946	2085946	2016-11-28	2191	PRJNA328078	SAMN05363636
Methanohalophilus halophilus		strain: Z-7982	2177	ASM188940v1	GCF_001889405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022959	2022959	2016-12-06	2095	PRJNA342410	SAMN05756399
Natronorubrum daqingense		strain: JX313	588898	ASM197170v1	GCF_001971705.1	RefSeq	GCF_001971705.1-RS_2024_05_05	Complete Genome	3397437	3835796	2017-01-26	3788	PRJNA329170	SAMN05417698
Ferroplasma acidiphilum		strain: Y	74969	ASM207835v1	GCF_002078355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1826943	1826943	2017-04-04	1851	PRJNA316151	SAMN03952737
Halohasta litchfieldiae		strain: tADL	1073996	ASM278821v1	GCF_002788215.1	RefSeq	GCF_002788215.1-RS_2024_05_05	Complete Genome	3332022	3332022	2017-11-20	3453	PRJNA53493	SAMN00117514
Methanococcus maripaludis		strain: DSM 2067	39152	ASM294532v1	GCF_002945325.1	RefSeq	GCF_002945325.1-RS_2024_03_28	Complete Genome	1714918	1714918	2018-02-12	1874	PRJNA432904	SAMN08466362
Acidianus brierleyi		strain: DSM 1651	41673	ASM320183v2	GCF_003201835.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2947244	2947244	2020-03-10	3201	PRJNA463410	SAMN09071529
Natrarchaeobaculum sulfurireducens		strain: AArc1	2044521	ASM343082v1	GCF_003430825.1	RefSeq	GCF_003430825.1-RS_2024_05_06	Complete Genome	3521804	3789323	2018-08-28	3734	PRJNA413731	SAMN07764453
Haloplanus aerogenes		strain: JCM 16430	660522	ASM385683v1	GCF_003856835.1	RefSeq	GCF_003856835.1-RS_2024_05_06	Complete Genome	3461954	3503092	2018-12-03	3670	PRJNA481613	SAMN09684815
Halobacterium salinarum		strain: 91-R6	2242	ASM479960v1	GCF_004799605.1	RefSeq	GCF_004799605.1-RS_2024_03_28	Complete Genome	2178608	2429680	2019-04-18	2584	PRJNA530823	SAMN11158145
Natronorubrum bangense		strain: JCM 10635	61858	ASM479964v1	GCF_004799645.1	RefSeq	GCF_004799645.1-RS_2024_05_12	Complete Genome	3079186	4382412	2019-04-18	4347	PRJNA482706	SAMN09711300
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM540632v1	GCF_005406325.1	RefSeq	GCF_005406325.1-RS_2024_05_12	Complete Genome	2948887	3907473	2019-05-16	3941	PRJNA412908	SAMN11356524
Pyrococcus furiosus DSM 3638		strain: DSM 3638	186497	ASM824508v1	GCF_008245085.1	RefSeq	GCF_008245085.1-RS_2024_04_27	Complete Genome	1889914	1889914	2019-09-03	2126	PRJNA382684	SAMN06711904
Natrinema halophilum		strain: YPL8	1699371	ASM1340281v2	GCF_013402815.2	RefSeq	GCF_013402815.2-RS_2024_05_06	Complete Genome	4359796	4842193	2021-10-19	4702	PRJNA643691	SAMN15423737
Natrinema longum		strain: ABH32	370324	ASM1735209v1	GCF_017352095.1	RefSeq	GCF_017352095.1-RS_2024_05_06	Complete Genome	3588874	3588874	2021-03-14	3600	PRJNA706550	SAMN18137902
Haloarcula sinaiiensis ATCC 33800		strain: ATCC 33800	662476	ASM1820001v1	GCF_018200015.1	RefSeq	GCF_018200015.1-RS_2024_03_28	Complete Genome	3093724	4537128	2021-04-29	4625	PRJNA412908	SAMN18811338
Saccharolobus shibatae B12		strain: B12	523848	ASM1917534v1	GCF_019175345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2879035	2916875	2021-07-08	3159	PRJNA716250	SAMN18432893
Methanoculleus chikugoensis		strain: MG62	118126	ASM1966996v1	GCF_019669965.1	RefSeq	GCF_019669965.1-RS_2024_04_28	Complete Genome	2622259	2622259	2021-06-02	2643	PRJDB8303	SAMD00171896
Halobacterium noricense		strain: JCM 15102	223182	ASM2123343v1	GCF_021233435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2893719	3316796	2021-12-20	3555	PRJNA787377	SAMN23798384
Methanothermobacter tenebrarum		strain: RMAS	680118	ASM2316746v1	GCF_023167465.1	RefSeq	GCF_023167465.1-RS_2024_05_14	Complete Genome	1472762	1495190	2022-04-07	1674	PRJDB13305	SAMD00451045
Natronomonas gomsonensis		strain: KCTC 4088	1046043	ASM2430082v1	GCF_024300825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3544915	3652280	2022-07-18	3895	PRJNA857807	SAMN29636705
Vulcanisaeta souniana JCM 11219		strain: IC-059	1293586	ASM2600077v1	GCF_026000775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2432148	2432148	2022-10-08	2651	PRJDB14343	SAMD00535535
Methanothermobacter thermautotrophicus		strain: Delta H	145262	ASM2755490v1	GCF_027554905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1751429	1751429	2023-01-03	1861	PRJNA674001	SAMN16604535
Actinarchaeum halophilum		strain: YIM 93972	2814576	ASM2756314v1	GCF_027563145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2676592	3748090	2023-01-03	3799	PRJNA702923	SAMN17983567
Pyrodictium abyssi		strain: AV2	54256	ASM3632339v1	GCF_036323395.1	RefSeq	GCF_036323395.1-RS_2024_04_02	Complete Genome	2224219	2224219	2023-09-14	2441	PRJDB16515	SAMD00639620
